latency,bandwidth,fence_freq,simSeconds,simTicks,simInsts
160ns,100GiB/s,1,0.000616,615714003.0,1233588.0
160ns,100GiB/s,4,0.000563,563030739.0,1158588.0
160ns,100GiB/s,16,0.000538,537897564.0,1139932.0
160ns,100GiB/s,64,0.000488,487742769.0,1135245.0
160ns,100GiB/s,256,0.000457,456714495.0,1134165.0
160ns,12.5GiB/s,1,0.000618,617956758.0,1233588.0
160ns,12.5GiB/s,4,0.000565,565275492.0,1158588.0
160ns,12.5GiB/s,16,0.000541,540525933.0,1139932.0
160ns,12.5GiB/s,64,0.00049,490371138.0,1135245.0
160ns,12.5GiB/s,256,0.000459,459346527.0,1134165.0
160ns,25GiB/s,1,0.000617,616764618.0,1233588.0
160ns,25GiB/s,4,0.000564,564081354.0,1158588.0
160ns,25GiB/s,16,0.000539,538948512.0,1139932.0
160ns,25GiB/s,64,0.000489,488793717.0,1135245.0
160ns,25GiB/s,256,0.000458,457765443.0,1134165.0
160ns,50GiB/s,1,0.000616,615993390.0,1233588.0
160ns,50GiB/s,4,0.000563,563310126.0,1158588.0
160ns,50GiB/s,16,0.000538,538177950.0,1139932.0
160ns,50GiB/s,64,0.000488,488023155.0,1135245.0
160ns,50GiB/s,256,0.000457,456994881.0,1134165.0
300ns,100GiB/s,1,0.000755,754740837.0,1233588.0
300ns,100GiB/s,4,0.000721,721362915.0,1158588.0
300ns,100GiB/s,16,0.000713,712729890.0,1139932.0
300ns,100GiB/s,64,0.000698,697676625.0,1135245.0
300ns,100GiB/s,256,0.000695,695328642.0,1134165.0
300ns,12.5GiB/s,1,0.000757,757486755.0,1233588.0
300ns,12.5GiB/s,4,0.000724,723940002.0,1158588.0
300ns,12.5GiB/s,16,0.000716,716257692.0,1139932.0
300ns,12.5GiB/s,64,0.000703,702855108.0,1135245.0
300ns,12.5GiB/s,256,0.000701,701151813.0,1134165.0
300ns,25GiB/s,1,0.000756,755933310.0,1233588.0
300ns,25GiB/s,4,0.000723,722583027.0,1158588.0
300ns,25GiB/s,16,0.000714,714327624.0,1139932.0
300ns,25GiB/s,64,0.0007,700025607.0,1135245.0
300ns,25GiB/s,256,0.000698,697942692.0,1134165.0
300ns,50GiB/s,1,0.000755,755159418.0,1233588.0
300ns,50GiB/s,4,0.000722,721781496.0,1158588.0
300ns,50GiB/s,16,0.000713,713468817.0,1139932.0
300ns,50GiB/s,64,0.000699,698558742.0,1135245.0
300ns,50GiB/s,256,0.000696,696239397.0,1134165.0
400ns,100GiB/s,1,0.000955,954662715.0,1233588.0
400ns,100GiB/s,4,0.000939,939493566.0,1158588.0
400ns,100GiB/s,16,0.000928,927906165.0,1139932.0
400ns,100GiB/s,64,0.00092,920406672.0,1135245.0
400ns,100GiB/s,256,0.000919,918561852.0,1134165.0
400ns,12.5GiB/s,1,0.000958,957596778.0,1233588.0
400ns,12.5GiB/s,4,0.000942,942195528.0,1158588.0
400ns,12.5GiB/s,16,0.000932,932364036.0,1139932.0
400ns,12.5GiB/s,64,0.000926,925911828.0,1135245.0
400ns,12.5GiB/s,256,0.000925,924749991.0,1134165.0
400ns,25GiB/s,1,0.000956,955951758.0,1233588.0
400ns,25GiB/s,4,0.000941,940813911.0,1158588.0
400ns,25GiB/s,16,0.00093,930090645.0,1139932.0
400ns,25GiB/s,64,0.000923,922944798.0,1135245.0
400ns,25GiB/s,256,0.000921,921446631.0,1134165.0
400ns,50GiB/s,1,0.000955,955181529.0,1233588.0
400ns,50GiB/s,4,0.00094,940012380.0,1158588.0
400ns,50GiB/s,16,0.000929,928819584.0,1139932.0
400ns,50GiB/s,64,0.000921,921413331.0,1135245.0
400ns,50GiB/s,256,0.00092,919626453.0,1134165.0
40ns,100GiB/s,1,0.000517,517334148.0,1233588.0
40ns,100GiB/s,4,0.000465,464650884.0,1158588.0
40ns,100GiB/s,16,0.00044,440219340.0,1139932.0
40ns,100GiB/s,64,0.00039,389712564.0,1135245.0
40ns,100GiB/s,256,0.000358,358414227.0,1134165.0
40ns,12.5GiB/s,1,0.00052,519509970.0,1233588.0
40ns,12.5GiB/s,4,0.000467,466826706.0,1158588.0
40ns,12.5GiB/s,16,0.000442,442173384.0,1139932.0
40ns,12.5GiB/s,64,0.000392,391942332.0,1135245.0
40ns,12.5GiB/s,256,0.000361,360914391.0,1134165.0
40ns,25GiB/s,1,0.000518,518315166.0,1233588.0
40ns,25GiB/s,4,0.000466,465631902.0,1158588.0
40ns,25GiB/s,16,0.000441,440686206.0,1139932.0
40ns,25GiB/s,64,0.00039,390396546.0,1135245.0
40ns,25GiB/s,256,0.000359,359346294.0,1134165.0
40ns,50GiB/s,1,0.000518,517532949.0,1233588.0
40ns,50GiB/s,4,0.000465,464849685.0,1158588.0
40ns,50GiB/s,16,0.00044,440293932.0,1139932.0
40ns,50GiB/s,64,0.00039,389839770.0,1135245.0
40ns,50GiB/s,256,0.000359,358601373.0,1134165.0
80ns,100GiB/s,1,0.000549,549425025.0,1233588.0
80ns,100GiB/s,4,0.000497,496741761.0,1158588.0
80ns,100GiB/s,16,0.000472,471608586.0,1139932.0
80ns,100GiB/s,64,0.000421,421453791.0,1135245.0
80ns,100GiB/s,256,0.00039,390425517.0,1134165.0
80ns,12.5GiB/s,1,0.000552,551584197.0,1233588.0
80ns,12.5GiB/s,4,0.000499,498900933.0,1158588.0
80ns,12.5GiB/s,16,0.000474,474153372.0,1139932.0
80ns,12.5GiB/s,64,0.000424,423998577.0,1135245.0
80ns,12.5GiB/s,256,0.000393,392970303.0,1134165.0
80ns,25GiB/s,1,0.00055,550393389.0,1233588.0
80ns,25GiB/s,4,0.000498,497710125.0,1158588.0
80ns,25GiB/s,16,0.000473,472577283.0,1139932.0
80ns,25GiB/s,64,0.000422,422422488.0,1135245.0
80ns,25GiB/s,256,0.000391,391394214.0,1134165.0
80ns,50GiB/s,1,0.00055,549622161.0,1233588.0
80ns,50GiB/s,4,0.000497,496938897.0,1158588.0
80ns,50GiB/s,16,0.000472,471806721.0,1139932.0
80ns,50GiB/s,64,0.000422,421651926.0,1135245.0
80ns,50GiB/s,256,0.000391,390623652.0,1134165.0
