latency,bandwidth,streams,simSeconds,simTicks,simInsts
160ns,100GiB/s,1,0.000422,422265312.0,992760.0
160ns,100GiB/s,4,0.00208,2079713205.0,2516367.0
160ns,100GiB/s,8,0.003051,3051355257.0,4547667.0
160ns,100GiB/s,16,0.005993,5992940061.0,8610605.0
160ns,100GiB/s,32,0.010873,10873191924.0,16736021.0
160ns,12.5GiB/s,1,0.000428,428197707.0,992760.0
160ns,12.5GiB/s,4,0.002159,2159345160.0,2516367.0
160ns,12.5GiB/s,8,0.00323,3230478621.0,4547667.0
160ns,12.5GiB/s,16,0.006141,6140592594.0,8610605.0
160ns,12.5GiB/s,32,0.011178,11178079398.0,16736021.0
160ns,25GiB/s,1,0.000424,424004238.0,992760.0
160ns,25GiB/s,4,0.002105,2105255637.0,2516367.0
160ns,25GiB/s,8,0.003106,3106351206.0,4547667.0
160ns,25GiB/s,16,0.006041,6041301984.0,8610605.0
160ns,25GiB/s,32,0.010965,10964677014.0,16736021.0
160ns,50GiB/s,1,0.000423,422561682.0,992760.0
160ns,50GiB/s,4,0.00208,2079932985.0,2516367.0
160ns,50GiB/s,8,0.003052,3051615330.0,4547667.0
160ns,50GiB/s,16,0.005994,5994254745.0,8610605.0
160ns,50GiB/s,32,0.010877,10877164947.0,16736021.0
300ns,100GiB/s,1,0.000756,756252324.0,992760.0
300ns,100GiB/s,4,0.003625,3625447257.0,2516367.0
300ns,100GiB/s,8,0.005176,5176109709.0,4547667.0
300ns,100GiB/s,16,0.010148,10148181993.0,8610605.0
300ns,100GiB/s,32,0.018216,18216122976.0,16736021.0
300ns,12.5GiB/s,1,0.000762,762343227.0,992760.0
300ns,12.5GiB/s,4,0.003705,3704818473.0,2516367.0
300ns,12.5GiB/s,8,0.005355,5354972334.0,4547667.0
300ns,12.5GiB/s,16,0.010297,10296832527.0,8610605.0
300ns,12.5GiB/s,32,0.018523,18522567891.0,16736021.0
300ns,25GiB/s,1,0.000758,758135106.0,992760.0
300ns,25GiB/s,4,0.003651,3651133545.0,2516367.0
300ns,25GiB/s,8,0.005231,5230969794.0,4547667.0
300ns,25GiB/s,16,0.010197,10196827632.0,8610605.0
300ns,25GiB/s,32,0.018309,18309290382.0,16736021.0
300ns,50GiB/s,1,0.000757,756689553.0,992760.0
300ns,50GiB/s,4,0.003626,3625668036.0,2516367.0
300ns,50GiB/s,8,0.005176,5176230921.0,4547667.0
300ns,50GiB/s,16,0.01015,10149777396.0,8610605.0
300ns,50GiB/s,32,0.01822,18220376718.0,16736021.0
400ns,100GiB/s,1,0.000996,996244092.0,992760.0
400ns,100GiB/s,4,0.004734,4733857737.0,2516367.0
400ns,100GiB/s,8,0.006699,6699484809.0,4547667.0
400ns,100GiB/s,16,0.013127,13126739787.0,8610605.0
400ns,100GiB/s,32,0.023479,23479191306.0,16736021.0
400ns,12.5GiB/s,1,0.001002,1002435228.0,992760.0
400ns,12.5GiB/s,4,0.004813,4813028487.0,2516367.0
400ns,12.5GiB/s,8,0.006878,6878146968.0,4547667.0
400ns,12.5GiB/s,16,0.013276,13276091952.0,8610605.0
400ns,12.5GiB/s,32,0.023787,23786738784.0,16736021.0
400ns,25GiB/s,1,0.000998,998227107.0,992760.0
400ns,25GiB/s,4,0.00476,4759644258.0,2516367.0
400ns,25GiB/s,8,0.006754,6754244661.0,4547667.0
400ns,25GiB/s,16,0.013176,13175585892.0,8610605.0
400ns,25GiB/s,32,0.023574,23573561508.0,16736021.0
400ns,50GiB/s,1,0.000997,996781554.0,992760.0
400ns,50GiB/s,4,0.004734,4734078516.0,2516367.0
400ns,50GiB/s,8,0.0067,6699505788.0,4547667.0
400ns,50GiB/s,16,0.013129,13128535656.0,8610605.0
400ns,50GiB/s,32,0.023484,23483645514.0,16736021.0
40ns,100GiB/s,1,0.000167,167495004.0,992760.0
40ns,100GiB/s,4,0.000757,756751158.0,2516367.0
40ns,100GiB/s,8,0.001234,1234132299.0,4547667.0
40ns,100GiB/s,16,0.002435,2435341221.0,8610605.0
40ns,100GiB/s,32,0.004583,4583288124.0,16736021.0
40ns,12.5GiB/s,1,0.000185,184974840.0,992760.0
40ns,12.5GiB/s,4,0.000933,932805927.0,2516367.0
40ns,12.5GiB/s,8,0.001619,1619075304.0,4547667.0
40ns,12.5GiB/s,16,0.003007,3007098558.0,8610605.0
40ns,12.5GiB/s,32,0.005761,5760597303.0,16736021.0
40ns,25GiB/s,1,0.000171,171410418.0,992760.0
40ns,25GiB/s,4,0.000799,799297902.0,2516367.0
40ns,25GiB/s,8,0.001326,1325777562.0,4547667.0
40ns,25GiB/s,16,0.002559,2558903868.0,8610605.0
40ns,25GiB/s,32,0.004827,4826681820.0,16736021.0
40ns,50GiB/s,1,0.000168,167717115.0,992760.0
40ns,50GiB/s,4,0.000757,757134774.0,2516367.0
40ns,50GiB/s,8,0.001235,1234732032.0,4547667.0
40ns,50GiB/s,16,0.002436,2436460767.0,8610605.0
40ns,50GiB/s,32,0.004587,4587102972.0,16736021.0
80ns,100GiB/s,1,0.000237,237452976.0,992760.0
80ns,100GiB/s,4,0.001196,1196302833.0,2516367.0
80ns,100GiB/s,8,0.001839,1839156336.0,4547667.0
80ns,100GiB/s,16,0.00362,3620452257.0,8610605.0
80ns,100GiB/s,32,0.006679,6679167480.0,16736021.0
80ns,12.5GiB/s,1,0.000243,242590833.0,992760.0
80ns,12.5GiB/s,4,0.001282,1282343040.0,2516367.0
80ns,12.5GiB/s,8,0.002032,2031920046.0,4547667.0
80ns,12.5GiB/s,16,0.003795,3794739129.0,8610605.0
80ns,12.5GiB/s,32,0.00704,7040252367.0,16736021.0
80ns,25GiB/s,1,0.000239,238916511.0,992760.0
80ns,25GiB/s,4,0.001222,1221800310.0,2516367.0
80ns,25GiB/s,8,0.001894,1894316454.0,4547667.0
80ns,25GiB/s,16,0.003669,3668709951.0,8610605.0
80ns,25GiB/s,32,0.00677,6769919304.0,16736021.0
80ns,50GiB/s,1,0.000238,237666429.0,992760.0
80ns,50GiB/s,4,0.001197,1196520615.0,2516367.0
80ns,50GiB/s,8,0.001839,1839416409.0,4547667.0
80ns,50GiB/s,16,0.003622,3621536838.0,8610605.0
80ns,50GiB/s,32,0.006683,6682910400.0,16736021.0
